hash,token_address,tokens,vendedor,comprador,simbolo
0xefd99c922b4ed40c7ba6b45a5e26e0571c75d6f322c5903fde705e2ada630ce5,0x2f1026ff5bd94232050364c81d61a2d15e147209,5.0,0xb57114b18086ee2f28cabb096e42b67324dd5c70,0xd1aa7e73c79d7faade965ecca298b3a88d9abaea,Reental-MIA-1
0x5d66b23199db5bb54298ae2d0010018d97a7322e77fc0b2e62da25a29a169d58,0x4adaee2dae690cf8f3915f1c1963f16d239c5e11,12.01086575,0xdd5de994cdd5fae199fc5e0dc4cf8576338dc6aa,0xd1aa7e73c79d7faade965ecca298b3a88d9abaea,Reental-MRB-1
0xaebb213778ac9a7a7efc785203728e9fb1482478b14848f499970bd39b9ce179,0x2f1026ff5bd94232050364c81d61a2d15e147209,15.0,0x9c0e7f3e623e2daf58f9a343348671d76613af2e,0xd1aa7e73c79d7faade965ecca298b3a88d9abaea,Reental-MIA-1
0xbf540bcc71722a78953a4d23c8ef38d90c66b4d5e038a963d1c2e6cbda96263b,0x2f1026ff5bd94232050364c81d61a2d15e147209,10.0,0x9c0e7f3e623e2daf58f9a343348671d76613af2e,0xd1aa7e73c79d7faade965ecca298b3a88d9abaea,Reental-MIA-1
0xcdb6deebfbe567f9d579dfe82df25541a4f0fd601f3ee976d09357ac72d63013,0x8711b4172ed71d2d4f90e3e2f0cb63726acba8e6,2.48,0x3460f3e3ecdadb7ca18cc363c1ed05d227fda666,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-JAX-1
0x740a4f62c968ca513a1ab898e58f9e92056435f662407b001e4558456043678b,0xe27f1e1d5ef28f560cbd9500342b24dd989635d2,1.0,0x3460f3e3ecdadb7ca18cc363c1ed05d227fda666,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-1
0xc00a48b0499017c9229967dd234d8b635d928b905d0bd000b9415c98d074d4c6,0xfc5e219788a953ad8e71c3b7cb9484695e7f028e,1.21877684,0xd8bf40febaadb4c1d5e336d064512bd9182786ea,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-SVQ-6
0xd7e9ae3980170e0558d49d347bc02ba7bd5afa3d9ebd12f2d561a9451ee4a589,0xb5a1a4f29b7376c091d6f4c7689be4b7cd5a6d98,3.0,0x03b0d1a2cfce3cd5188b6454d8b5d2d5abec45bd,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-6
0x503c46b16fc70d5b5edc2f791ed1dcb9ca61dfbf2ca6346c6fba9bdb4fb5769b,0x1b0d685f5e4063033e0a1a360db864c9911eedda,1.75188364,0xa6e1b44481f027e4609ff0983db49d0fbd769983,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-9
0x9a3c23d8bb4ee1ce66b2e10d8385d09cdbfac29b8aa3bc923de11dcc63ca7357,0xb45898179fe8de2818e3ff994559c60aa962e2af,0.1716371,0xa6e1b44481f027e4609ff0983db49d0fbd769983,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-7
0xe2fbcb52cb65522a00df65fffe7478e4e80ab94726b1f2393379c24673354e0a,0xac6b91d535bdedb731045ed823d2a6c3ad5b5177,1.0,0xe0d5eacf6c9d5c3e287b4ec42e7f20a8b0b9c3c1,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-OVD-1
0x29515fd11b36ba7c8a4e441bdac377e51e658ac692c23ad854f1c895410614e0,0xcac847f077fc0a13db7e2476c0dd25bffd116809,1.3005691,0xa6e1b44481f027e4609ff0983db49d0fbd769983,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VIL-1
0x5c5898180b27317cf46f7b6effc461164dbe6ba4c72ef4cc3e0b7279b9bfc0c7,0x95fb76dcf3bd83b3a9262a96194f29a9a7243f7a,3.81953461,0xd7c29b7bdff2e120af60efbbdd420b576abd3a72,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-2
0x0d13991abc894dd5ada78d282a983ad5c88d55828f52121325a199521c49d907,0x7f6b82381bce03e7cf6af2fb1dcd41993406d4ae,3.0,0xe0d5eacf6c9d5c3e287b4ec42e7f20a8b0b9c3c1,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-2
0x7c5545fa08950bf9392e0cca55658945c8da8baaee422891d15b2cc9878353e0,0x6bde5421e90a42c6e78faaf3a79e4310a4d6266f,1.01,0xeaa27673f91cf5a9a6707c0f6c4fab35fbb7fadb,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-11
0x72acb2e2c8927c71e772e11862c9f0ccceed4e5fc128a646332e52d7229b5924,0xbaea3b53056d42c763d14bef94b39ada218c2dbd,5.0,0x1d4f1a58d7d62513e3fb4d777db81d7de4a0e807,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-7
0x285bbfc9e810fc797af706d50a7e7ad7d5e43fc82dec74b6afea7b316be7e4c9,0x95fb76dcf3bd83b3a9262a96194f29a9a7243f7a,5.0,0xd9135bda4ccd4291e3f3dcedfbb0994844b0c627,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-2
0x4b432a07c32c8b53a8d27f8645f8dff5f93ae9f11d00e8418ebae829fea7a6a0,0xa17e89f33e80b506af759f9e493efe29a47ea905,0.92862087,0x3fd18bcdf53caf473320848283199fe7a1a4751e,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-10
0x7bc00c8f73c75ca264a1d39bd7966bdf350e918073a84c80bc0b6e0547914253,0xac6b91d535bdedb731045ed823d2a6c3ad5b5177,4.25831039,0xb00f45001343e07464d2a40044ef8a527db76039,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-OVD-1
0x67320aa822e60721dbac8c45ff1b46aaea271ff553e87c0e60caead72af22b5c,0x1b0d685f5e4063033e0a1a360db864c9911eedda,4.81558455,0xb00f45001343e07464d2a40044ef8a527db76039,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-9
0x70eba72938de0e161daea258917898c7fe975fd0ff406f63c2ffda5394bb0ff5,0xfd0ea97747f7b1a53ec59ef5001616cde3aead3e,5.0,0xe33a753eae22c2c0fc20e4c701dd40cfd36a82b6,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-CLVM-2
0x5d970e9e8ec73c1e00557fbd912b6cc77a1ae540ba17c20fb5c96ac83f5426ca,0x9626bb1cd5536c2a3acc5c0cd98a589d9ea31638,1.12790925,0x21cb12db1844b7d4c0cf3c3f1881737d7efa0702,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-CDP-2
0xfac2e9ad77d24254cddc34d4f60a1b7d7ab56aaa422af7a918ecd22a66c913b3,0x92f8150266c3a2a51be53188eebdfb0798ca7910,2.95556929,0x619485cbd0f78431d709aa20b1ac49768939badf,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-SGT-2
0xc0c28eea9fc438fbffd08ccea4a2df60dbbd1ea32de5b822a6834d8bc3f395a0,0xe27f1e1d5ef28f560cbd9500342b24dd989635d2,2.4135803,0x619485cbd0f78431d709aa20b1ac49768939badf,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-1
0xffdcc0e6e1835bc6ed0430fec96db1463bca5eb3f58d7aafb0e8ca7b44d1149a,0xfc5e219788a953ad8e71c3b7cb9484695e7f028e,1.29576,0x619485cbd0f78431d709aa20b1ac49768939badf,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-SVQ-6
0xa01c098b5f4b5e9c912cb5e80622275495ecb80efaf6156abe417f9e384a487c,0xb45898179fe8de2818e3ff994559c60aa962e2af,1.11525549,0x64441cc873d5f2014ac6c1a2f039b405abca3d09,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-7
0xc784dc3f27f05cdcedac779b5c1fec008505e68a40370735e7ff8dce9b936e54,0x29fdc3434576e188e8131b2ad9cf94d3b3e71f56,5.0,0xe574bc9a94a1067a2178be8dcfe0826602000e48,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-8
0x1157c8675369ac2b26cbe3d53b46cfe849a2940e1fbc01c403922aa5b6d45243,0xb5a1a4f29b7376c091d6f4c7689be4b7cd5a6d98,5.0,0x632d6483c59f102c23d97dab6da11f35df0bbb8e,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-6
0xe3d1475144f35774c72a1ac444d231213846bf03a26ecdd18d82ab7e18bd21f1,0xb5a1a4f29b7376c091d6f4c7689be4b7cd5a6d98,5.0,0x632d6483c59f102c23d97dab6da11f35df0bbb8e,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-6
0x99dc37fe5f669143927c24205323d8f9583a6693eda70df312f6acf9aba69481,0xa17e89f33e80b506af759f9e493efe29a47ea905,0.11358046,0x7882d24e65a18b87ce84079fb7e9fbf82ab2e100,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-10
0x2fbb316cb59424b1779580a0828687d4150f42366b1703657bba0d97d0ad7471,0x29fdc3434576e188e8131b2ad9cf94d3b3e71f56,2.51,0x0c9ddacefb5848bae01a6c37de08b67bb5134065,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-8
0x89924415181cb014b3ad80e2aaf969502df699dd74860b915f4d48b4e3ef9bfd,0xbaea3b53056d42c763d14bef94b39ada218c2dbd,1.97402993,0x5cbd3aaabb7dc0bb893a96a6fc696c099ccb775b,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-7
0x54815c09d243c0d7da7ede9032d9b4c1a4a04ba9d315ed142757bcadcf2cb89c,0xb5a1a4f29b7376c091d6f4c7689be4b7cd5a6d98,2.31540599,0x5cbd3aaabb7dc0bb893a96a6fc696c099ccb775b,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-6
0x904d128ac8599fcf417241af968e5ad53af8e08b05fd34587974c5f9afe1fc53,0x29fdc3434576e188e8131b2ad9cf94d3b3e71f56,0.2609507,0x82052d854a72fdf229c093ae374ebad7b085e620,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-8
0xd4c9b2b813a7495572a43e677ec701d4c780874aa1cae4de61fdac4bc28c7f00,0xb45898179fe8de2818e3ff994559c60aa962e2af,1.7,0x5aa2e83633ff5fb40f85479f5a3218d11daea050,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-7
0xf0b91e0d4c3086581737b2fbf91bd5a45c5ce21f79034dfde74022083c824d8b,0x6b4fa3c69e62f8f03dc018b57efa74d560462210,0.20622248,0xa72ed54fb61853c823820a264870b7bdf46c0ddb,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MAYA-1
0x57776af7ceddf9e0090da91d7f8a4738c60374e6ec9502522e66b5319ca8ebd8,0x7f6b82381bce03e7cf6af2fb1dcd41993406d4ae,2.81016627,0x5cbd3aaabb7dc0bb893a96a6fc696c099ccb775b,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-2
0xce72aa17bf659e6d1fe60047dbe838b1b9de4c4d8f7d8fc78c7dc9639f55f527,0x7469b9381bfa8a34bef9dfaad03d75f60947f957,0.18228047,0xa72ed54fb61853c823820a264870b7bdf46c0ddb,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-CDP-3
0x2d0f077e76625801010002d69cdf1d98dfcd1d467ca2d18d91bf6466b6eebddf,0xcac847f077fc0a13db7e2476c0dd25bffd116809,3.0,0xd9135bda4ccd4291e3f3dcedfbb0994844b0c627,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VIL-1
0xe09d2e962683ff27b67599721e49e703a2f927042b83fa7dcd6812ffb00df609,0x7798f8c28ce575188f4e65aeb6719c0ec5c69195,1.0,0x70c8aab186e952c4f047c362035054e45a371045,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-4
0xc798ca042e4b21aac1c026336e03eb408cd21aaf1506203e0b840964d41d4a4f,0xb45898179fe8de2818e3ff994559c60aa962e2af,5.06618089,0x70c8aab186e952c4f047c362035054e45a371045,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-7
0xe2c99dc94cdda9b9ef06c000693234816d68f90a543cdbdada5d152240eb9441,0x512ee64de3b983d4e05faa949d63020442215a41,9.43987539,0xd9135bda4ccd4291e3f3dcedfbb0994844b0c627,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-3
0xf7f71aa0a180311461f71efd4d1e98ba4f14224d77c5e7e0aaa1cf168d11d727,0x7f6b82381bce03e7cf6af2fb1dcd41993406d4ae,2.00861519,0x97cacff734becff32d449b4f4178c1a69df482a4,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-2
0x958d3c169f3509ee106f5a7b6917aab908bc2256d97bbbb73a963a9cc54eac0c,0xb45898179fe8de2818e3ff994559c60aa962e2af,1.1492751,0x788390e251b13db1309c2feeaca903e685bd83fe,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-7
0xacbad011f3046c019dea9d00b86769a61cb8fedd34c89c261d716f886cf99392,0xfd81b5f560700652b1bf73e26662ec4df1469ae3,3.66996679,0xb57114b18086ee2f28cabb096e42b67324dd5c70,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-SVQ-5
0x65da70b77c15213719368cc6b0e003d215fd0933b424d8cae22e99b9cc994f60,0x7f6b82381bce03e7cf6af2fb1dcd41993406d4ae,0.17373059,0xa72ed54fb61853c823820a264870b7bdf46c0ddb,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-2
0x6fa5746ed0c46abe94efa163dfd616752f7e6973ef2a7d161981feb204557609,0xb45898179fe8de2818e3ff994559c60aa962e2af,0.37006638,0xa72ed54fb61853c823820a264870b7bdf46c0ddb,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-MLG-7
0x3a3de2a543e8de24c8ca31ac946dbb251d72095107832de95d54292e8c891859,0xbaea3b53056d42c763d14bef94b39ada218c2dbd,1.0,0x9a41897d612ed5e1e79a6facb3f525d7b020e465,0xd212a7c928b7a61460d67b96769bb8e38b4a4652,Reental-VLC-7
